suite,task,optimizer,trial_index,hyperparameters,mean_final_val_loss,mean_best_val_loss,mean_final_val_accuracy,mean_best_val_accuracy,mean_steps_to_target_loss,mean_steps_to_target_accuracy,mean_runtime_seconds,loss_variance,divergence_rate,selection_score
tuning,pinn_harmonic_oscillator,blockwise_consensus_direction_optimizer,1,"{""block_strategy"": ""smart_bcdo"", ""coherence_weight"": 0.18, ""conflict_penalty"": 0.12, ""consensus_matrix_mix"": 0.14, ""consensus_memory_mix"": 0.38, ""cost_penalty_weight"": 0.02, ""descent_weight"": 0.52, ""dimension_power"": 0.06, ""energy_decay"": 0.97, ""energy_power"": 0.5, ""fallback_threshold"": 0.06, ""grad_decay"": 0.97, ""improvement_weight"": 0.04, ""lr"": 0.015, ""magnitude_mode"": ""energy_normalized"", ""matrix_candidate_mode"": ""row_column_consensus"", ""matrix_consensus_bonus"": 0.05, ""max_scale"": 1.45, ""max_update_ratio"": 0.16, ""memory_decay"": 0.88, ""min_scale"": 0.82, ""oscillation_penalty"": 0.12, ""recoverability_drop_fraction"": 0.1, ""recoverability_interval"": 8, ""recoverability_keep_ratio"": 0.5, ""recoverability_noise_scale"": 0.02, ""recoverability_samples"": 0, ""recoverability_weight"": 0.0, ""recovery_threshold"": 0.55, ""row_column_energy_weight"": 0.55, ""row_column_mix"": 0.6, ""selection_mode"": ""winner_take_all"", ""selection_temperature"": 0.25, ""small_matrix_cutoff"": 1024, ""smooth_decay"": 0.96, ""stability_weight"": 0.16, ""stable_consensus_bonus"": 0.1, ""trust_decay"": 0.9, ""use_gradient_candidate"": true, ""use_low_rank_candidate"": true, ""use_recoverability_gate"": false, ""use_stable_consensus_candidate"": true, ""use_trusted_direction_candidate"": true, ""weight_decay"": 0.0}",0.3912811279296875,0.3912811279296875,,,,,2.160665374947712,0.7857145634134752,0.0,-0.4305668561003613
tuning,pinn_harmonic_oscillator,blockwise_consensus_direction_optimizer,2,"{""block_strategy"": ""tensor"", ""coherence_weight"": 0.18, ""conflict_penalty"": 0.12, ""consensus_matrix_mix"": 0.14, ""consensus_memory_mix"": 0.25, ""cost_penalty_weight"": 0.0, ""descent_weight"": 0.52, ""dimension_power"": 0.0, ""energy_decay"": 0.99, ""energy_power"": 0.5, ""fallback_threshold"": 0.06, ""grad_decay"": 0.97, ""improvement_weight"": 0.08, ""lr"": 0.006, ""magnitude_mode"": ""energy_normalized"", ""matrix_candidate_mode"": ""row_column_consensus"", ""matrix_consensus_bonus"": 0.0, ""max_scale"": 1.45, ""max_update_ratio"": 0.24, ""memory_decay"": 0.92, ""min_scale"": 0.75, ""oscillation_penalty"": 0.12, ""recoverability_drop_fraction"": 0.1, ""recoverability_interval"": 4, ""recoverability_keep_ratio"": 0.5, ""recoverability_noise_scale"": 0.02, ""recoverability_samples"": 0, ""recoverability_weight"": 0.0, ""recovery_threshold"": 0.55, ""row_column_energy_weight"": 0.55, ""row_column_mix"": 0.45, ""selection_mode"": ""winner_take_all"", ""selection_temperature"": 0.25, ""small_matrix_cutoff"": 2048, ""smooth_decay"": 0.94, ""stability_weight"": 0.16, ""stable_consensus_bonus"": 0.16, ""trust_decay"": 0.86, ""use_gradient_candidate"": true, ""use_low_rank_candidate"": true, ""use_recoverability_gate"": false, ""use_stable_consensus_candidate"": true, ""use_trusted_direction_candidate"": true, ""weight_decay"": 0.0001}",0.4175669252872467,0.4175669252872467,,,,,1.8228070420445874,0.8273273600600112,0.0,-0.45893329329024724
tuning,pinn_harmonic_oscillator,bcdo_structured_core,1,"{""block_strategy"": ""smart_v3"", ""coherence_weight"": 0.22, ""conflict_penalty"": 0.16, ""consensus_matrix_mix"": 0.18, ""consensus_memory_mix"": 0.42, ""cost_penalty_weight"": 0.03, ""descent_weight"": 0.48, ""dimension_power"": 0.08, ""fallback_threshold"": 0.1, ""grad_decay"": 0.97, ""improvement_weight"": 0.08, ""lr"": 0.018, ""magnitude_mode"": ""block_norm"", ""matrix_candidate_mode"": ""row_column_consensus"", ""matrix_consensus_bonus"": 0.06, ""max_scale"": 1.75, ""max_update_ratio"": 0.18, ""memory_decay"": 0.88, ""min_scale"": 0.7, ""orthogonal_strength"": 0.0, ""oscillation_penalty"": 0.16, ""projection_strength"": 0.0, ""recoverability_drop_fraction"": 0.1, ""recoverability_keep_ratio"": 0.5, ""recoverability_noise_scale"": 0.03, ""recoverability_samples"": 1, ""recoverability_weight"": 0.05, ""recovery_threshold"": 0.52, ""rmsprop_decay"": 0.97, ""row_column_energy_weight"": 0.55, ""row_column_mix"": 0.6, ""selection_mode"": ""winner_take_all"", ""selection_temperature"": 0.25, ""smooth_decay"": 0.96, ""stability_weight"": 0.12, ""stable_consensus_bonus"": 0.12, ""stress_candidate_penalty"": 0.16, ""stress_gate_power"": 1.0, ""stress_gate_threshold"": 0.28, ""topk_fraction"": 0.18, ""trust_decay"": 0.9, ""use_gradient_candidate"": true, ""use_low_rank_candidate"": true, ""use_muon_like_candidate"": false, ""use_normalized_gradient_candidate"": true, ""use_orthogonal_escape_candidate"": false, ""use_projection_candidate"": false, ""use_sign_candidate"": true, ""use_smoothed_direction_candidate"": true, ""use_sparse_topk_candidate"": true, ""use_stable_consensus_candidate"": true, ""use_trusted_direction_candidate"": true, ""weight_decay"": 0.0}",0.4460236132144928,0.4460236132144928,,,,,5.550789624918252,0.7862067087726639,0.0,-0.485333948653126
tuning,pinn_harmonic_oscillator,bcdo_structured_core,2,"{""block_strategy"": ""smart_v3"", ""coherence_weight"": 0.22, ""conflict_penalty"": 0.24, ""consensus_matrix_mix"": 0.0, ""consensus_memory_mix"": 0.6, ""cost_penalty_weight"": 0.03, ""descent_weight"": 0.48, ""dimension_power"": 0.18, ""fallback_threshold"": 0.0, ""grad_decay"": 0.99, ""improvement_weight"": 0.08, ""lr"": 0.018, ""magnitude_mode"": ""block_norm"", ""matrix_candidate_mode"": ""rank1_svd"", ""matrix_consensus_bonus"": 0.06, ""max_scale"": 1.75, ""max_update_ratio"": 0.28, ""memory_decay"": 0.82, ""min_scale"": 0.65, ""orthogonal_strength"": 0.0, ""oscillation_penalty"": 0.08, ""projection_strength"": 0.0, ""recoverability_drop_fraction"": 0.0, ""recoverability_keep_ratio"": 0.65, ""recoverability_noise_scale"": 0.06, ""recoverability_samples"": 2, ""recoverability_weight"": 0.0, ""recovery_threshold"": 0.45, ""rmsprop_decay"": 0.97, ""row_column_energy_weight"": 0.35, ""row_column_mix"": 0.6, ""selection_mode"": ""fallback_to_gradient"", ""selection_temperature"": 0.3, ""smooth_decay"": 0.94, ""stability_weight"": 0.05, ""stable_consensus_bonus"": 0.0, ""stress_candidate_penalty"": 0.28, ""stress_gate_power"": 0.75, ""stress_gate_threshold"": 0.42, ""topk_fraction"": 0.28, ""trust_decay"": 0.94, ""use_gradient_candidate"": true, ""use_low_rank_candidate"": true, ""use_muon_like_candidate"": false, ""use_normalized_gradient_candidate"": true, ""use_orthogonal_escape_candidate"": false, ""use_projection_candidate"": false, ""use_sign_candidate"": true, ""use_smoothed_direction_candidate"": true, ""use_sparse_topk_candidate"": true, ""use_stable_consensus_candidate"": true, ""use_trusted_direction_candidate"": true, ""weight_decay"": 0.0}",0.4606523811817169,0.4606523811817169,,,,,5.631537666078657,0.7864187592126726,0.0,-0.49997331914235055
tuning,pinn_harmonic_oscillator,adamw,1,"{""lr"": 0.001, ""weight_decay"": 0.0001}",0.5699552893638611,0.5699552893638611,,,,,0.1400599170010537,3.0640731686528606,0.0,-0.7231589477965041
tuning,pinn_harmonic_oscillator,adamw,2,"{""lr"": 0.003, ""weight_decay"": 0.001}",0.4874095022678375,0.4874095022678375,,,,,0.13690962502732873,1.462867614011976,0.0,-0.5605528829684363
tuning,pinn_harmonic_oscillator,rmsprop,1,"{""alpha"": 0.99, ""lr"": 0.005, ""momentum"": 0.0, ""weight_decay"": 0.0}",0.4364348351955414,0.4313899278640747,,,,,0.12676283298060298,1.9643462190656358,0.0,-0.5296072388173565
tuning,pinn_harmonic_oscillator,rmsprop,2,"{""alpha"": 0.99, ""lr"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.001}",0.3171389400959015,0.3171389400959015,,,,,0.12759899999946356,24.255315463868392,0.0,-1.529904713289321
tuning,pinn_harmonic_oscillator,sgd_momentum,1,"{""lr"": 0.03, ""momentum"": 0.9, ""nesterov"": false, ""weight_decay"": 0.0}",inf,inf,,,,,0.009143834002315998,8126026664285.038,1.0,-inf
tuning,pinn_harmonic_oscillator,sgd_momentum,2,"{""lr"": 0.05, ""momentum"": 0.85, ""nesterov"": false, ""weight_decay"": 0.001}",inf,inf,,,,,0.007634209003299475,172148344045260.4,1.0,-inf
